Categoria,Difficoltà,Domanda,Risposta1,Risposta2,Risposta3,Risposta4,Corrette
Sport,Facile,In quale sport si usa una racchetta?,Tennis,Calcio,Basket,Pallavolo,Tennis
Sport,Facile,Quanti giocatori ci sono in una squadra di calcio?,9,10,11,12,11
Sport,Facile,Quale sport si pratica nel Tour de France?,Ciclismo,Sci,Nuoto,Atletica,Ciclismo
Sport,Facile,Quale sport si gioca su un diamante?,Baseball,Cricket,Hockey,Football,Baseball
Sport,Facile,Quali di questi sport sono praticati su ghiaccio?,Hockey su ghiaccio,Curling,Basketball,Baseball,Hockey su ghiaccio;Curling
Sport,Facile,Qual è la durata di una partita di calcio?,60 minuti,75 minuti,90 minuti,120 minuti,90 minuti
Sport,Facile,Quale sport si gioca con una palla ovale?,Calcio,Baseball,Rugby,Football,Rugby
Sport,Facile,In quale sport si utilizzano le scarpe chiodate?,Calcio,Atletica,Nuoto,Pallavolo,Atletica
Sport,Facile,Qual è il numero massimo di giocatori in una squadra di pallavolo?,5,6,7,8,6
Sport,Facile,Qual è il record del mondo per i 100 metri piani maschili?,9.98,9.90,9.58,9.63,9.58
Sport,Medio,Chi ha vinto l'Euro 2020 di calcio?,Italia,Francia,Spagna,Inghilterra,Italia
Sport,Medio,Quanti set ci sono in una partita di tennis?,1,3,5,7,3
Sport,Medio,Qual è la distanza di una maratona?,35 km,40 km,42,195 km,50 km,42,195 km
Sport,Medio,Chi ha vinto il Pallone d'Oro 2023?,Lionel Messi,Erling Haaland,Kylian Mbappé,Cristiano Ronaldo,Leo Messi
Sport,Medio,Qual è la capitale mondiale del baseball?,Tokyo,New York,Los Angeles,La Habana,La Habana
Sport,Difficile,Chi ha vinto il Mondiale di Rugby nel 2019?,Nuova Zelanda,Inghilterra,South Africa,Australia,Inghilterra
Sport,Difficile,In quale anno la Formula 1 ha introdotto il sistema di "safety car"?,1975,1982,1993,2003,1993
Sport,Difficile,Chi ha vinto il Super Bowl nel 2018?,New England Patriots,Philadelphia Eagles,Denver Broncos,Los Angeles Rams,Philadelphia Eagles
Sport,Difficile,Qual è la distanza di una gara di triathlon olimpico?,5 km di corsa,40 km di bici,1500 m di nuoto,2000 m di nuoto,5 km di corsa;40 km di bici;1500 m di nuoto
Sport,Difficile,Chi ha vinto i 100 metri alle Olimpiadi del 1960?,Wilma Rudolph,Tommy Smith,Rafer Johnson,Don Schollander,Wilma Rudolph
Storia,Facile,Chi fu il primo presidente degli Stati Uniti?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,George Washington
Storia,Facile,Quale paese è stato invaso da Napoleone nel 1812?,Polonia,Italia,Russia,Germania,Russia
Storia,Facile,In quale anno l'Italia è diventata una Repubblica?,1945,1946,1950,1960,1946
Storia,Facile,Chi ha scoperto l'America?,Cristoforo Colombo,Marco Polo,Vasco da Gama,Fernando Magellano,Cristoforo Colombo
Storia,Facile,Quali sono state le cause della Seconda Guerra Mondiale?,L'assassinio di Francesco Ferdinando,Il trattato di Versailles,L'invasione della Polonia,Il Patto di non aggressione,Invasione della Polonia
Storia,Medio,Chi ha scritto "Il Manifesto del Partito Comunista"?,Karl Marx,Antonio Gramsci,Lenin,Friedrich Engels,Karl Marx
Storia,Medio,In che anno è stata proclamata la Repubblica di Weimar?,1918,1919,1921,1923,1919
Storia,Medio,Chi fu il leader della Rivoluzione Russa del 1917?,Lenin,Stalin,Trotsky,Mao Tse-Tung,Lenin
Storia,Medio,Quale battaglia segnò la fine dell'Impero Napoleonico?,La battaglia di Austerlitz,La battaglia di Waterloo,La battaglia di Trafalgar,La battaglia di Leipzig,La battaglia di Waterloo
Storia,Difficile,Chi ha scritto "Storia della Decadenza e della Caduta dell'Impero Romano"?,Edward Gibbon,Voltaire,Leopold von Ranke,Jacob Burckhardt,Edward Gibbon
Storia,Difficile,In quale anno è stato firmato il Trattato di Versailles?,1918,1919,1920,1921,1919
Storia,Difficile,Chi fu il dittatore della Spagna dal 1939 al 1975?,Francisco Franco,José Antonio Primo de Rivera,Miguel Primo de Rivera,Manuel Azaña,Francisco Franco
